name	expected
empty	sat
false	unsat
unit0	sat
unit1	sat
unit2	sat
unit3	sat
unit4	unsat
unit5	unsat
unit6	unsat
unit7	unsat
sub0	sat
sat0	unsat
sat1	sat
sat2	sat
sat3	sat
sat4	sat
sat5	unsat
sat6	sat
sat7	sat
sat8	sat
sat9	sat
sat10	sat
sat11	sat
sat12	sat
sat13	sat
full1	unsat
full2	unsat
full3	unsat
full4	unsat
full5	unsat
full6	unsat
full7	unsat
regr000	sat
elimclash	unsat
elimredundant	sat
block0	sat
prime4	sat
prime9	sat
prime25	sat
prime49	sat
sqrt2809	sat
sqrt3481	sat
sqrt3721	sat
ph2	unsat
ph3	unsat
ph4	unsat
ph5	unsat
ph6	unsat
add4	unsat
add8	unsat
